construct,normalized_FHB,SD
FHB,100.00,19.89
EVB80,440.88,35.26
EVB80 5'ACAT1,55.35,5.23
EVB80 5'HBA1,96.12,19.97
EVB80 3' ACAT1,297.19,44.65
EVB80 3' HBA1,337.71,29.79
FMDV,230.97,19.01
FMDV 5' ACAT1,19.88,1.77
FMDV 5' HBA1,2.55,0.14
FMDV 3' ACAT1,156.30,2.64
FMDV 3' HBA1,322.40,148.58
CVA3,368.73,53.93
CVA3 5' ACAT1,34.79,0.10
CVA3 5' HBA1,55.47,5.25
CVA3 3' ACAT1,178.53,4.18
CVA3 3' HBA1,210.30,18.22
CVA7,172.21,13.17
CVA7 5' ACAT1,19.65,0.06
CVA7 5' HBA1,29.05,0.49
CVA7 3' ACAT1,104.08,3.32
CVA7 3' HBA1,276.30,8.50
CVA12,275.92,17.14
CVA12 5' ACAT1,45.30,7.39
CVA12 5' HBA1,78.10,0.60
CVA12 3' ACAT1,161.73,22.41
CVA12 3' HBA1,156.92,1.15
