screening_group,run,sample_id,FHB_normalized,SD,source_slide
133,2,1st-1,2-14,41.72,0.57,32
134,2,1st-1,2-15,111.3,5.22,32
135,2,1st-1,2-16,45.62,1.62,32
136,2,1st-1,2-17,94.34,5.11,32
137,2,1st-1,2-18,115.41,5.45,32
138,2,1st-1,2-19,188.15,5.36,32
139,2,1st-1,2-20,112.46,1.56,32
140,2,1st-1,2-21,1.41,0.08,32
141,2,1st-1,2-22,89.7,6.58,32
142,2,1st-1,2-23,394.63,9.37,32
143,2,1st-1,2-24,153.12,2.81,32
144,2,1st-1,2-25,103.89,4.55,32
145,2,1st-1,2-26,112.36,3.17,32
146,2,1st-1,2-27,103.49,1.57,32
147,2,1st-1,2-28,196.2,3.16,32
148,2,1st-1,2-29,110.12,4.01,32
149,2,1st-1,2-30,266.03,12.1,32
150,2,1st-1,2-31,33.02,1.1,32
151,2,1st-1,2-32,216.79,0.43,32
152,2,1st-1,2-33,109.12,6.08,32
153,2,1st-1,2-34,89.98,10.72,32
154,2,1st-1,2-35,243.79,26.05,32
155,2,1st-1,2-36,34.26,0.24,32
156,2,1st-1,2-41,96.11,6.01,32
157,2,1st-1,2-42,110.77,6.11,32
158,2,1st-1,2-43,29.92,3.78,32
159,2,1st-1,2-44,115.75,14.17,32
160,2,1st-1,2-47,116.15,14.82,32
161,2,1st-1,2-48,97.83,8.63,32
162,2,2nd-2,2-49,18.01,0.34,34
163,2,2nd-2,2-50,9.31,0.76,34
164,2,2nd-2,2-51,23.61,2.22,34
165,2,2nd-2,2-52,83.47,0.08,34
166,2,2nd-2,2-53,109.06,2.21,34
167,2,2nd-2,2-54,117.14,3.31,34
168,2,2nd-2,2-55,107.02,2.2,34
169,2,2nd-2,2-56,128.93,2.78,34
170,2,2nd-2,2-57,175.25,3.19,34
171,2,2nd-2,2-58,102.2,3.56,34
172,2,2nd-2,2-60,144.66,11.12,34
173,2,2nd-2,2-61,76.82,0.99,34
174,2,2nd-2,2-62,47.51,4.08,34
175,2,2nd-2,2-63,28.65,0.0,34
176,2,2nd-2,2-64,69.97,1.33,34
177,2,2nd-2,2-65,211.38,17.42,34
178,2,2nd-2,2-66,95.52,3.49,34
179,2,2nd-2,2-67,42.58,0.27,34
180,2,2nd-2,2-68,128.04,3.61,34
181,2,2nd-2,2-69,90.5,6.37,34
182,2,2nd-2,2-70,88.26,2.58,34
183,2,2nd-2,2-71,129.95,7.51,34
184,2,2nd-2,2-72,89.03,6.8,34
185,2,2nd-2,2-73,230.72,15.17,34
186,2,2nd-2,2-75,178.87,13.98,34
187,2,2nd-2,2-76,77.76,2.38,34
188,2,2nd-2,2-77,184.01,5.16,34
189,2,2nd-2,2-78,97.15,7.93,34
190,2,2nd-2,2-79,126.72,14.42,34
191,2,2nd-2,2-80,143.68,0.77,34
192,2,2nd-2,2-81,97.71,1.36,34
193,2,2nd-2,2-83,87.06,1.46,34
194,2,2nd-2,2-84,94.51,2.88,34
195,2,2nd-2,2-85,155.58,4.85,34
196,2,2nd-2,2-86,84.96,3.53,34
197,2,2nd-2,2-87,47.76,1.38,34
198,2,2nd-2,2-88,101.86,4.13,34
199,2,2nd-2,2-89,101.92,0.34,34
200,2,2nd-2,2-90,87.82,2.82,34
201,2,2nd-2,2-91,34.59,4.35,34
202,2,2nd-2,2-92,74.12,1.26,34
203,2,2nd-2,2-93,90.27,1.17,34
204,2,2nd-2,2-94,99.65,6.21,34
205,2,2nd-2,2-95,97.27,3.81,34
206,2,2nd-2,2-96,82.47,2.83,34
207,2,3rd-2,2-97,1.69,0.0,36
208,2,3rd-2,2-98,96.61,1.86,36
209,2,3rd-2,2-99,77.93,3.5,36
210,2,3rd-2,2-100,1.44,0.17,36
211,2,3rd-2,2-101,87.27,2.4,36
212,2,3rd-2,2-102,81.13,0.86,36
213,2,3rd-2,2-103,89.07,0.72,36
214,2,3rd-2,2-105,83.67,0.61,36
215,2,3rd-2,2-107,45.45,2.09,36
216,2,3rd-2,2-108,102.96,1.87,36
217,2,3rd-2,2-109,102.93,2.39,36
218,2,3rd-2,2-110,325.65,20.41,36
219,2,3rd-2,2-111,1.65,0.04,36
220,2,3rd-2,2-112,43.49,0.72,36
221,2,3rd-2,2-113,84.79,3.87,36
222,2,3rd-2,2-114,91.37,2.78,36
223,2,3rd-2,2-115,87.73,1.57,36
224,2,3rd-2,2-116,31.91,2.38,36
225,2,3rd-2,2-118,80.84,1.7,36
226,2,3rd-2,2-119,102.8,2.32,36
227,2,3rd-2,2-120,334.2,3.47,36
228,2,3rd-2,2-121,246.01,3.39,36
229,2,3rd-2,2-122,105.13,3.31,36
230,2,3rd-2,2-125,1.42,0.01,36
231,2,3rd-2,2-127,66.67,10.26,36
232,2,3rd-2,2-128,202.79,4.98,36
233,2,3rd-2,2-129,95.67,1.73,36
234,2,3rd-2,2-130,58.63,1.0,36
235,2,3rd-2,2-131,28.27,0.41,36
236,2,3rd-2,2-132,40.73,0.11,36
237,2,3rd-2,2-133,163.05,1.07,36
238,2,3rd-2,2-134,54.48,2.86,36
239,2,3rd-2,2-135,104.89,0.33,36
240,2,3rd-2,2-136,34.36,0.38,36
241,2,3rd-2,2-137,181.41,2.89,36
242,2,3rd-2,2-138,81.94,4.32,36
243,2,3rd-2,2-139,97.38,5.73,36
244,2,3rd-2,2-140,52.28,5.46,36
245,2,3rd-2,2-141,90.31,6.31,36
246,2,3rd-2,2-142,88.0,4.79,36
247,2,3rd-2,2-143,92.12,4.29,36
248,2,3rd-2,2-144,92.7,0.77,36
249,3,1st-3,3-1,91.21,2.03,42
250,3,1st-3,3-3,248.0,11.24,42
251,3,1st-3,3-5,225.3,10.35,42
252,3,1st-3,3-6,205.64,19.32,42
253,3,1st-3,3-7,163.18,9.44,42
254,3,1st-3,3-8,399.07,22.14,42
255,3,1st-3,3-9,159.28,7.41,42
256,3,1st-3,3-11,3.66,0.18,42
257,3,1st-3,3-12,181.15,18.78,42
258,3,1st-3,3-13,525.02,11.41,42
259,3,1st-3,3-14,213.66,0.29,42
260,3,1st-3,3-15,220.48,4.26,42
261,3,1st-3,3-16,276.93,1.72,42
262,3,1st-3,3-17,114.53,0.1,42
263,3,1st-3,3-19,169.19,8.56,42
264,3,1st-3,3-20,165.24,3.69,42
265,3,1st-3,3-21,472.57,19.12,42
266,3,1st-3,3-22,160.48,10.51,42
267,3,1st-3,3-23,461.93,2.32,42
268,3,1st-3,3-24,11.99,0.08,42
269,3,1st-3,3-25,350.73,10.82,42
270,3,1st-3,3-26,27.84,1.57,42
271,3,1st-3,3-27,253.2,7.4,42
272,3,1st-3,3-29,81.54,0.99,42
273,3,1st-3,3-31,0.52,0.04,42
274,3,1st-3,3-32,1.55,0.2,42
275,3,1st-3,3-33,153.67,1.01,42
276,3,1st-3,3-34,158.81,1.99,42
277,3,1st-3,3-35,200.59,5.21,42
278,3,1st-3,3-36,251.91,6.95,42
279,3,1st-3,3-37,268.91,5.04,42
280,3,1st-3,3-38,3.98,0.24,42
281,3,1st-3,3-39,267.55,11.75,42
282,3,1st-3,3-41,490.93,22.55,42
283,3,1st-3,3-42,242.04,10.63,42
284,3,1st-3,3-43,375.99,13.83,42
285,3,1st-3,3-44,186.34,1.01,42
286,3,1st-3,3-45,540.0,23.54,42
287,3,1st-3,3-46,168.79,1.29,42
288,3,1st-3,3-48,441.34,6.87,42
289,3,2nd-3,3-49,105.86,5.38,44
290,3,2nd-3,3-50,7.27,0.39,44
291,3,2nd-3,3-51,34.98,1.74,44
292,3,2nd-3,3-52,163.07,9.16,44
293,3,2nd-3,3-53,213.89,5.31,44
294,3,2nd-3,3-54,186.31,6.13,44
295,3,2nd-3,3-55,397.04,6.6,44
296,3,2nd-3,3-57,385.07,7.86,44
297,3,2nd-3,3-58,373.76,13.16,44
